Timestamp,Match Name,Score,Odds 1,Odds X,Odds 2
05:46:35,Futebol vs Resultados finais,7 - 0,2.85,1.25,N/A
05:46:35,Total de golos vs A-League (Austrália),7 - 0,2.85,1.25,N/A
05:46:35,Auckland FC vs Melbourne City,9 - 3,2.85,1.25,N/A
05:46:35,Magic United vs Peninsula Power,3 - 2,5.75,3.00,1.30
05:46:35,Campbelltown City SC vs Metrostars SC,5 - 0,5.75,3.00,1.30
05:46:35,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:35,Ténis vs Vencedor da partida,0 - 0,1.95,1.62,1.11
05:46:35,Vencedor do set vs Acapulco ( ATP ),0 - 0,1.95,1.62,1.11
05:46:35,Francis Tiafoe vs Brandon Nakashima,4 - 3,1.95,1.62,1.11
05:46:35,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:46:35,Voleibol vs Vencedor da partida,0 - 0,2.75,1.20,2.20
05:46:35,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.75,1.20,2.20
05:46:35,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.75,1.20,2.20
05:46:35,Basebol vs Pré-temporada (Japão),37 - 1,3.20,1.13,1.37
05:46:35,Vencedor da Partida vs Handicap de runs,37 - 1,3.20,1.13,1.37
05:46:35,Futsal vs Resultados finais,8 - 3,7.25,3.15,1.27
05:46:35,Total de golos vs Liga F (Japão),8 - 3,7.25,3.15,1.27
05:46:35,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:46:41,Mais vs Menos,0 - 0,2.85,1.25,N/A
05:46:41,Auckland FC vs Melbourne City,0 - 0,2.85,1.25,N/A
05:46:41,Mais vs Menos,0 - 0,5.50,2.95,1.32
05:46:41,Campbelltown City SC vs Metrostars SC,0 - 0,5.50,2.95,1.32
05:46:41,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:41,Ténis vs Vencedor da partida,0 - 0,1.95,1.62,1.11
05:46:41,Vencedor do set vs Acapulco ( ATP ),0 - 0,1.95,1.62,1.11
05:46:41,Francis Tiafoe vs Brandon Nakashima,0 - 0,1.95,1.62,1.11
05:46:41,Handicap vs Total,0 - 0,1.75,1.75,1.75
05:46:41,Voleibol vs Vencedor da partida,0 - 0,2.75,1.20,2.20
05:46:41,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.75,1.20,2.20
05:46:41,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.75,1.20,2.20
05:46:41,Basebol vs Pré-temporada (Japão),0 - 0,3.20,1.13,1.37
05:46:41,Vencedor da Partida vs Handicap de runs,0 - 0,3.20,1.13,1.37
05:46:41,Futsal vs Resultados finais,0 - 0,7.25,3.15,1.27
05:46:41,Total de golos vs Liga F (Japão),0 - 0,7.25,3.15,1.27
05:46:41,Mais vs Menos,0 - 0,7.25,3.15,1.27
05:46:41,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:46:43,Auckland FC vs Melbourne City,9 - 4,2.90,1.24,N/A
05:46:43,Campbelltown City SC vs Metrostars SC,5 - 1,5.50,2.95,1.32
05:46:43,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:43,Ténis vs Vencedor da partida,0 - 0,1.95,1.62,1.11
05:46:43,Vencedor do set vs Acapulco ( ATP ),0 - 0,1.95,1.62,1.11
05:46:43,Francis Tiafoe vs Brandon Nakashima,0 - 0,1.95,1.62,1.11
